-1.162953847305013e-04 + 1.237935611851238e-05i      1.799494503560129e-08 + 5.700220564821743e-09i      6.506255524526767e-08 + 5.114461459677340e-08i
      1.799494503501904e-08 + 5.700220566137257e-09i     -5.161875188156177e-05 + 1.010648655113666e-05i      2.619572119638920e-08 + 2.147305005239441e-08i
      6.506255524942245e-08 + 5.114461460835524e-08i      2.619572119973439e-08 + 2.147305005542393e-08i     -5.157641814764693e-05 + 9.973529121598586e-06i

