 -2.1410e-11 + 5.2789e-09i  -1.4438e-12 + 1.4388e-10i   2.7303e-12 + 5.0466e-14i
  -1.4438e-12 + 1.4388e-10i  -2.2188e-11 + 5.4423e-09i   3.5999e-12 + 6.4505e-14i
   2.7303e-12 + 5.0466e-14i   3.5999e-12 + 6.4505e-14i  -5.1771e-10 + 5.2839e-08i
