 -4.3951e-12 + 2.5835e-09i   1.0475e-14 + 5.9723e-13i   4.5593e-13 + 4.6669e-15i
   1.0561e-14 + 5.9710e-13i  -4.4059e-12 + 2.5861e-09i   3.9937e-13 - 2.8394e-16i
   4.5594e-13 + 4.6692e-15i   3.9935e-13 - 2.8106e-16i  -5.1771e-10 + 5.2840e-08i
