-5.5787e-12 + 2.5082e-09i   3.8537e-16 + 1.3107e-15i   1.8340e-15 - 3.7837e-16i
   3.8756e-16 + 1.3006e-15i  -5.5788e-12 + 2.5082e-09i   1.5474e-16 - 4.6591e-15i
   1.8334e-15 - 3.7760e-16i   1.5450e-16 - 4.6590e-15i  -6.7240e-10 + 5.2836e-08i
