-4.8947e-12 + 2.5212e-09i   2.0080e-14 + 1.5049e-13i   1.5887e-13 + 1.9176e-15i
   2.0049e-14 + 1.5037e-13i  -4.8898e-12 + 2.5219e-09i  -2.1618e-14 - 5.3404e-15i
   1.5888e-13 + 1.9389e-15i  -2.1587e-14 - 5.3478e-15i  -6.5882e-10 + 5.2836e-08i
