-5.5515e-12 + 2.5095e-09i   1.4118e-15 + 1.8919e-14i   8.1122e-15 - 2.8150e-16i
   1.3992e-15 + 1.8922e-14i  -5.5509e-12 + 2.5095e-09i   5.6107e-16 - 4.6164e-15i
   8.1116e-15 - 2.8210e-16i   5.6520e-16 - 4.6155e-15i  -6.7131e-10 + 5.2836e-08i
