 1.909757058898736e-10 + 1.358379484931177e-09i     -7.327806649489436e-16 + 3.053584081616725e-14i     -9.738721004627830e-15 + 4.542431912263855e-13i
     -4.330179319360414e-16 + 3.063738099770604e-14i      1.909314505628441e-10 + 1.626800460878697e-09i      5.126889354649258e-15 + 1.687392812860598e-12i
     -9.870153457712320e-15 + 4.538636237330579e-13i      4.891797933042655e-15 + 1.687267940079030e-12i     -3.288293722870177e-10 + 2.061549498110775e-07i

