1.9106e-10 + 1.4065e-09i  -1.1034e-16 + 2.5583e-13i  -2.8511e-14 + 2.2883e-12i
  -9.9600e-18 + 2.5574e-13i   1.9097e-10 + 1.7111e-09i  -2.6331e-14 - 6.6482e-12i
  -2.8387e-14 + 2.2886e-12i  -2.6510e-14 - 6.6485e-12i  -2.4195e-10 + 2.0675e-07i
