
      3.074317145189974e-06 + 1.934259711200952e-06i     -7.804625840831468e-10 + 8.416399437804657e-10i      4.700973369574162e-11 + 1.630614079939215e-10i
     -7.804628233507293e-10 + 8.416397341555089e-10i      3.073865623474503e-06 + 1.934334082617784e-06i      1.507944162033337e-10 - 1.483005751306705e-10i
      4.700964275509109e-11 + 1.630609972605668e-10i      1.507948148683618e-10 - 1.482991409169919e-10i      3.539087601131753e-06 + 1.502554609497677e-06i
