 -7.6483e-13 + 9.2021e-10i  -1.6239e-17 + 4.2696e-16i   1.0980e-17 - 1.0319e-15i
  -1.6228e-17 + 4.2694e-16i  -7.6478e-13 + 9.2021e-10i  -1.6600e-17 + 2.0691e-16i
   1.0995e-17 - 1.0319e-15i  -1.6620e-17 + 2.0691e-16i  -2.0118e-12 + 1.0728e-09i
