   -7.5748e-13 + 9.2019e-10i  -1.0347e-16 + 1.6214e-16i  -2.5991e-17 + 1.5044e-15i
  -1.0391e-16 + 1.6223e-16i  -7.5715e-13 + 9.2019e-10i   2.3796e-16 - 6.0561e-15i
  -2.6155e-17 + 1.5047e-15i   2.3799e-16 - 6.0560e-15i  -2.0070e-12 + 1.0727e-09i
