  -5.2187e-13 + 9.2070e-10i  -1.9094e-15 + 3.4613e-15i   1.0310e-16 + 1.5270e-15i
  -1.9095e-15 + 3.4612e-15i  -5.1643e-13 + 9.2069e-10i   9.2836e-16 - 6.0655e-15i
   1.0313e-16 + 1.5270e-15i   9.2838e-16 - 6.0655e-15i  -1.7702e-12 + 1.0727e-09i

