      2.306760148918745e-04 + 1.633829423622022e-05i     -8.367226186663670e-05 - 1.517827633573607e-05i      8.480514813477698e-09 - 6.367641145127154e-07i
     -8.367226191530076e-05 - 1.517827638838447e-05i      3.549948223745837e-04 + 3.621109333633247e-05i     -1.175024487519174e-07 + 1.903278024887850e-07i
      8.480518171579467e-09 - 6.367641200963480e-07i     -1.175023471573272e-07 + 1.903277600149949e-07i      6.797604500127751e-05 + 1.287939418204044e-06i     

 2.304755735988350e-04 + 1.992292294179673e-05i     -8.172789950955960e-05 - 1.674214953562735e-05i      5.645305850440964e-08 - 5.081466364072511e-10i
     -8.172789950503854e-05 - 1.674214948119679e-05i      3.519313974090826e-04 + 3.994510016458934e-05i     -5.415216192267378e-08 - 2.173753697195940e-09i
      5.645302046937937e-08 - 5.081952761334804e-10i     -5.415208540293861e-08 - 2.173730484463674e-09i      6.828208384127321e-05 + 2.378513571824168e-06i
